season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,dnf
2024,Emilia Romagna Grand Prix,OCO,95.64782143,20.42651361,77.008,28,75.906,14,SOFT,1.207106777,0
2024,Emilia Romagna Grand Prix,PER,97.94095,24.49028674,76.552,20,75.706,9,SOFT,5.526460606,0
2024,Emilia Romagna Grand Prix,PIA,91.60411538,17.28219329,76.098,26,74.82,14,SOFT,0.197965035,0
2024,Emilia Romagna Grand Prix,RIC,94.83675862,21.69825928,76.967,29,75.674,14,SOFT,2.045879902,0
2024,Emilia Romagna Grand Prix,RUS,98.72562069,23.34804448,76.311,29,75.234,17,SOFT,0.98547588,0
2024,Emilia Romagna Grand Prix,SAI,98.93657692,25.42108367,76.423,26,75.233,19,SOFT,-2.460255495,0
2024,Emilia Romagna Grand Prix,SAR,90.2809,15.67825519,77.848,20,76.731,7,SOFT,2.397406593,0
2024,Emilia Romagna Grand Prix,STR,95.45795652,19.60252168,76.991,23,75.992,14,SOFT,3.507428139,0
2024,Emilia Romagna Grand Prix,TSU,95.37455172,22.57163292,76.286,29,75.358,8,SOFT,-0.41460719,0
2024,Emilia Romagna Grand Prix,VER,99.40889474,24.77573689,76.447,19,74.746,17,SOFT,3.173710606,0
2024,Emilia Romagna Grand Prix,ZHO,94.48424,18.85868584,77.606,25,76.834,8,SOFT,1.083533478,0
2024,Hungarian Grand Prix,ALB,95.42163158,19.36769966,78.514,19,76.429,15,SOFT,2.523314685,1
2024,Hungarian Grand Prix,ALO,96.05126316,19.58274599,78.519,19,76.043,15,SOFT,2.225918182,1
2024,Hungarian Grand Prix,BOT,100.5397273,21.75961124,78.586,22,76.384,18,SOFT,-0.400994048,1
2024,Hungarian Grand Prix,GAS,98.51916667,22.88898454,78.888,18,78.166,5,SOFT,4.825219048,0
2024,Hungarian Grand Prix,HAM,92.91666667,17.86492896,78.363,15,75.854,20,SOFT,3.732290909,1
2024,Hungarian Grand Prix,HUL,96.12794737,19.4032517,78.791,19,76.317,15,SOFT,4.1485,1
2024,Hungarian Grand Prix,LEC,115.3803333,28.29656647,79.286,6,75.891,15,SOFT,,1
2024,Hungarian Grand Prix,MAG,93.43538889,17.83017831,78.315,18,76.548,14,SOFT,2.30991958,1
2024,Hungarian Grand Prix,NOR,94.06828571,18.39079832,77.788,21,75.227,17,SOFT,0.302933333,1
2024,Hungarian Grand Prix,OCO,103.026619,26.8824233,78.754,21,78.049,5,SOFT,4.194591667,1
2024,Hungarian Grand Prix,PER,96.45405882,22.4772679,78.255,17,77.886,2,SOFT,3.9953,1
2024,Hungarian Grand Prix,PIA,98.31966667,20.56276742,78.618,18,75.249,18,SOFT,3.2806,1
2024,Hungarian Grand Prix,RIC,92.2895625,16.76756594,78.371,16,76.202,11,SOFT,2.985354545,1
2024,Hungarian Grand Prix,RUS,91.6252,17.065664,78.294,15,77.968,8,SOFT,0.4720671,1
2024,Hungarian Grand Prix,SAI,91.979,16.53979228,78.185,19,75.696,24,SOFT,1.875159341,1
2024,Hungarian Grand Prix,SAR,96.10277778,19.57369896,78.611,18,76.543,12,SOFT,3.704481818,1
2024,Hungarian Grand Prix,STR,101.9544286,20.60818397,79.179,21,76.075,15,SOFT,2.363865476,1
2024,Hungarian Grand Prix,TSU,97.604,19.90416659,79.606,8,76.121,14,SOFT,,1
2024,Hungarian Grand Prix,VER,92.451625,17.26468879,78.031,16,75.273,20,SOFT,3.463327273,1
2024,Hungarian Grand Prix,ZHO,98.7909,20.54407414,80.067,20,78.037,11,SOFT,2.566994505,1
2024,Italian Grand Prix,ALB,92.59226316,13.63518204,81.592,19,80.299,17,SOFT,2.626816739,0
2024,Italian Grand Prix,ALO,98.56957895,19.73399135,81.316,19,80.421,10,SOFT,1.305233333,0
2024,Italian Grand Prix,BOT,100.4438095,19.71484998,81.461,21,81.101,2,SOFT,0.602627323,0
2024,Italian Grand Prix,COL,107.5903125,28.09789085,81.784,16,81.061,2,SOFT,10.49158214,0
2024,Italian Grand Prix,GAS,106.2410556,23.74969084,81.819,18,80.738,11,SOFT,5.749183333,0
2024,Italian Grand Prix,HAM,93.64435294,21.18240657,80.738,17,79.513,17,SOFT,3.627571429,0
2024,Italian Grand Prix,HUL,100.85235,22.78739531,81.14,20,80.339,17,SOFT,0.734183333,0
2024,Italian Grand Prix,LEC,97.057,23.31615285,80.892,20,79.461,20,SOFT,3.361324176,0
2024,Italian Grand Prix,MAG,103.8198333,26.92799337,81.499,6,80.698,7,SOFT,,0
2024,Italian Grand Prix,NOR,97.70855,21.15354262,80.741,20,79.327,11,SOFT,3.365978022,0
2024,Italian Grand Prix,OCO,102.3220625,20.92153854,81.867,16,80.764,5,SOFT,,0
2024,Italian Grand Prix,PER,94.64590909,15.63222677,81.678,11,80.062,14,SOFT,6.489,0
2024,Italian Grand Prix,PIA,95.92071429,17.27918046,80.858,21,79.436,15,SOFT,0.327045455,0
2024,Italian Grand Prix,RIC,101.0818889,22.5375805,81.3,18,80.479,11,SOFT,1.328071429,0
2024,Italian Grand Prix,RUS,92.23866667,17.33718324,81.086,15,79.44,17,SOFT,0.180535714,0
2024,Italian Grand Prix,SAI,100.210619,23.28640717,80.841,21,79.467,17,SOFT,2.789402907,0
2024,Italian Grand Prix,STR,102.9156364,23.95313502,81.363,22,81.013,2,SOFT,4.77438254,0
2024,Italian Grand Prix,TSU,104.8335,24.67013669,81.735,14,80.945,5,SOFT,9.924457143,0
2024,Italian Grand Prix,VER,96.87073684,19.48854667,81.61,19,79.662,11,SOFT,2.573336264,0
2024,Italian Grand Prix,ZHO,103.4735,24.52029675,82.223,22,81.445,8,SOFT,-0.468431319,0
2024,Japanese Grand Prix,BOT,129.935,19.62362739,116.059,2,89.593,11,SOFT,,1
2024,Japanese Grand Prix,HAM,120.742,22.12817039,95.226,4,88.766,11,SOFT,,1
2024,Japanese Grand Prix,HUL,124.2856667,20.91029625,109.473,3,89.494,11,SOFT,,1
2024,Japanese Grand Prix,LEC,120.6456667,18.97014619,98.76,3,88.786,11,SOFT,,1
2024,Japanese Grand Prix,NOR,121.412,23.2425999,104.977,2,88.489,9,SOFT,,1
2024,Japanese Grand Prix,OCO,119.113,,119.113,1,89.811,5,SOFT,,1
2024,Japanese Grand Prix,PIA,109.2386,19.90336334,94.725,5,88.76,8,SOFT,10.2888,1
2024,Japanese Grand Prix,SAI,130.024,24.6709556,112.579,2,88.682,8,SOFT,,1
2024,Japanese Grand Prix,TSU,118.2918,15.31499957,100.946,5,89.413,17,SOFT,,1
2024,Japanese Grand Prix,ZHO,139.1416667,13.89490267,123.317,3,90.143,5,SOFT,,1
